city,lat,lng
tilburg,51.55,5.0833
amsterdam,52.3728,4.8936
rotterdam,51.92,4.48
the hague,52.08,4.31
utrecht,52.0908,5.1217
maastricht,50.85,5.6833
eindhoven,51.4333,5.4833
groningen,53.2189,6.5675
almere,52.3667,5.2167
breda,51.5889,4.7758
nijmegen,51.8475,5.8625
arnhem,51.9833,5.9167
haarlem,52.3833,4.6333
enschede,52.2225,6.8925
’s-hertogenbosch,51.6833,5.3
amersfoort,52.15,5.3833
zaanstad,52.4333,4.8167
apeldoorn,52.2167,5.9667
zwolle,52.5167,6.1
zoetermeer,52.0667,4.5
leeuwarden,53.2,5.7833
leiden,52.16,4.49
dordrecht,51.7958,4.6783
alphen aan den rijn,52.1333,4.6667
alkmaar,52.6333,4.75
delft,52.0117,4.3592
emmen,52.7833,6.9
deventer,52.25,6.15
helmond,51.4833,5.65
hilversum,52.2333,5.1667
heerlen,50.8833,5.9833
lelystad,52.5,5.4833
purmerend,52.5,4.95
hengelo,52.2653,6.7931
schiedam,51.9167,4.4
zaandam,52.4333,4.8333
hoofddorp,52.3061,4.6907
vlaardingen,51.9,4.35
gouda,52.0111,4.7111
hoorn,52.65,5.0667
almelo,52.35,6.6667
spijkenisse,51.85,4.3333
amstelveen,52.3,4.85
assen,53,6.5667
velsen-zuid,52.4667,4.6167
capelle aan den ijssel,51.9333,4.5833
veenendaal,52.0167,5.55
katwijk,52.2,4.4167
zeist,52.0906,5.2331
nieuwegein,52.0333,5.0833
scheveningen,52.1081,4.2731
heerhugowaard,52.6667,4.8333
roermond,51.2,5.9833
oosterhout,51.6333,4.8667
rijswijk,52.0333,4.3167
houten,52.0333,5.1667
middelburg,51.5,3.6167
harderwijk,52.35,5.6167
barendrecht,51.85,4.5333
ijmuiden,52.4586,4.6194
zutphen,52.14,6.195
soest,52.1833,5.3
ridderkerk,51.8667,4.6
schagen,52.7833,4.8
veldhoven,51.42,5.405
kerkrade,50.8667,6.0667
zwijndrecht,51.8167,4.65
zevenaar,51.9167,6.0667
noordwijk,52.2333,4.45
etten-leur,51.5667,4.6333
tiel,51.8833,5.4333
beverwijk,52.4833,4.65
huizen,52.3,5.25
hellevoetsluis,51.8167,4.1333
maarssen,52.1351,5.0413
wageningen,51.9667,5.6667
heemskerk,52.5167,4.6667
veghel,51.6167,5.55
teijlingen,52.2167,4.4833
venlo,51.3667,6.1667
gorinchem,51.8306,4.9742
landgraaf,50.9,6.0167
sittard,51,5.8667
hoogvliet,51.8667,4.35
maassluis,51.9333,4.2333
bussum,52.2833,5.1667
papendrecht,51.8333,4.6833
aalsmeer,52.2667,4.75
oldenzaal,52.3167,6.9333
vught,51.65,5.3
nieuw-vennep,52.2644,4.6347
waddinxveen,52.05,4.65
diemen,52.3333,4.9667
hendrik-ido-ambacht,51.85,4.6333
rosmalen,51.7167,5.3667
best,51.5167,5.4
uithoorn,52.2333,4.8333
krimpen aan den ijssel,51.9167,4.5833
culemborg,51.9536,5.2261
geldrop,51.4222,5.5578
langedijk,52.6833,4.8
vleuten,52.1081,5.015
brunssum,50.95,5.9667
heemstede,52.35,4.6167
leiderdorp,52.1667,4.5333
blerick,51.3667,6.15
pijnacker,52.0167,4.4333
dongen,51.6333,4.9333
voorschoten,52.1333,4.45
sliedrecht,51.8167,4.7667
oegstgeest,52.1833,4.4667
stein,50.9667,5.7667
oud-beijerland,51.8167,4.4
heiloo,52.6,4.7167
borne,52.3,6.75
lisse,52.25,4.55
volendam,52.4994,5.0675
hillegom,52.2833,4.5833
’s-gravenzande,52,4.1667
de meern,52.0781,5.0281
nuenen,51.4733,5.5467
alblasserdam,51.8702,4.6667
weesp,52.3,5.05
nootdorp,52.0333,4.4
krommenie,52.5,4.7667
naaldwijk,51.9931,4.205
